"proxyWallet","asset","conditionId","avgPrice","totalBought","realizedPnl","curPrice","title","slug","icon","eventSlug","outcome","outcomeIndex","oppositeOutcome","oppositeAsset","endDate","timestamp"
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","70838649760876455784439158718173305394123248176769079862504993085077588372359","0xd431801958b88b3831da343e0d8e63b90a7ce0b7fb1f316df183750c4720c95b",0.51811,1450.50812,698.985357,1.0,"Bitcoin Up or Down - March 9, 7:10PM-7:15PM ET",btc-updown-5m-1773097800,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773097800,Down,1,Up,"36600455801695603620340060562780641388795550546983738343500818785386111466434","2026-03-09T00:00:00Z",1773098335
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","36600455801695603620340060562780641388795550546983738343500818785386111466434","0xd431801958b88b3831da343e0d8e63b90a7ce0b7fb1f316df183750c4720c95b",0.3781610000000001,2160.317549,-816.947844,0.0,"Bitcoin Up or Down - March 9, 7:10PM-7:15PM ET",btc-updown-5m-1773097800,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773097800,Up,0,Down,"70838649760876455784439158718173305394123248176769079862504993085077588372359","2026-03-09T00:00:00Z",1773098334
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","63956145503006108659879454198764186134547810636610767977414750133663274746426","0x494fdfc0cc1de20dcbf1b5873af35e75f568fb971e378a4905615cf0776d5c87",0.367498,2313.298736,1463.166077,1.0,"Bitcoin Up or Down - March 9, 7:05PM-7:10PM ET",btc-updown-5m-1773097500,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773097500,Up,0,Down,"115416408528764073185830021771939399305884908713075484802591013081697067015320","2026-03-09T00:00:00Z",1773097982
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","115416408528764073185830021771939399305884908713075484802591013081697067015320","0x494fdfc0cc1de20dcbf1b5873af35e75f568fb971e378a4905615cf0776d5c87",0.642157,2960.878724,-1901.348998,0.0,"Bitcoin Up or Down - March 9, 7:05PM-7:10PM ET",btc-updown-5m-1773097500,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773097500,Down,1,Up,"63956145503006108659879454198764186134547810636610767977414750133663274746426","2026-03-09T00:00:00Z",1773097982
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","112831831366912934508359354028430632535688760919169370350865021908202056642606","0x068ca87827bbd341670a27e9c935d82e5393504e9244042604b37ad46122c070",0.560607,4681.954751,2057.218143,1.0,"Bitcoin Up or Down - March 9, 7:00PM-7:05PM ET",btc-updown-5m-1773097200,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773097200,Down,1,Up,"113534165595363995149166752596607890256594773886711771272381184208639340508987","2026-03-09T00:00:00Z",1773097642
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","113534165595363995149166752596607890256594773886711771272381184208639340508987","0x068ca87827bbd341670a27e9c935d82e5393504e9244042604b37ad46122c070",0.379856,4794.746558,-1821.313248,0.0,"Bitcoin Up or Down - March 9, 7:00PM-7:05PM ET",btc-updown-5m-1773097200,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773097200,Up,0,Down,"112831831366912934508359354028430632535688760919169370350865021908202056642606","2026-03-09T00:00:00Z",1773097640
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","73781885548531567604504765999255506464245192031255937947028293894979770882062","0x6804e1b6664303006658c5007d028be1bf14bb24d85b24b1c5e942ef2d378a66",0.421709,2209.931365,-931.947946,0.0,"Bitcoin Up or Down - March 9, 6:55PM-7:00PM ET",btc-updown-5m-1773096900,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773096900,Up,0,Down,"69736101380918270516592862431865941516059772884570654688171236806278224603901","2026-03-09T00:00:00Z",1773097546
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","69736101380918270516592862431865941516059772884570654688171236806278224603901","0x6804e1b6664303006658c5007d028be1bf14bb24d85b24b1c5e942ef2d378a66",0.516561,2289.976714,1107.064052,1.0,"Bitcoin Up or Down - March 9, 6:55PM-7:00PM ET",btc-updown-5m-1773096900,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773096900,Down,1,Up,"73781885548531567604504765999255506464245192031255937947028293894979770882062","2026-03-09T00:00:00Z",1773097545
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","48707647020813449805034487262215436381087951443121171464342096312682242294517","0xfac6ad7372524b3eb2e50141a106750fe0e422e5e95bb85ac61d8fba1b6b2b31",0.281039,5216.800709,-1466.124454,0.0,"Bitcoin Up or Down - March 9, 6:50PM-6:55PM ET",btc-updown-5m-1773096600,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773096600,Up,0,Down,"15669300898621417203060634129292146941932907819374771067669349999563347039950","2026-03-09T00:00:00Z",1773097033
"0x2d8b401d2f0e6937afebf18e19e11ca568a5260a","15669300898621417203060634129292146941932907819374771067669349999563347039950","0xfac6ad7372524b3eb2e50141a106750fe0e422e5e95bb85ac61d8fba1b6b2b31",0.670147,4338.817014,1431.171808,1.0,"Bitcoin Up or Down - March 9, 6:50PM-6:55PM ET",btc-updown-5m-1773096600,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,btc-updown-5m-1773096600,Down,1,Up,"48707647020813449805034487262215436381087951443121171464342096312682242294517","2026-03-09T00:00:00Z",1773097032
